main_star_n,gap_k
75110822598,3530
75110822599,1784
75110822599,2504
75110822600,1668
75110822600,2060
75110822600,2484
75110822600,4058
75110822600,4218
75110822600,4932
75165534923,516
75165534923,798
75165534923,906
75165534923,2280
75165534923,3246
75165534924,2834
75165534925,44
75165534925,108
75165534925,338
75165534925,914
75165534925,4622
75165534925,4764
75165534926,188
75165534926,1218
75165534926,1920
75165534926,2910
75165534926,4692
75672753870,1094
75672753870,2214
75672753870,2720
75672753870,3054
75672753870,3474
75672753870,3632
75672753871,780
75672753871,1742
75672753871,3072
75672753871,4494
75672753872,726
75672753872,1218
75672753872,1308
75672753872,2294
75672753872,3288
75672753872,4974
75672753873,252
75672753873,572
75672753873,716
75672753873,1970
75672753873,2438
75672753873,2900
75672753873,3876
75882864264,194
75882864264,726
75882864264,2306
75882864264,3578
75882864264,3846
75882864264,4448
75882864264,4574
75882864264,4656
75882864265,3698
75882864265,4500
75882864265,4848
75882864266,522
75882864266,932
75882864266,1148
75882864266,1518
75882864266,1764
75882864266,2202
75882864266,2288
75882864266,4758
75882864267,966
75882864267,1938
75882864267,2610
75882864267,2936
75882864267,3890
75882864267,4226
75900027213,408
75900027213,2576
75900027213,2736
75900027214,674
75900027214,3606
75900027215,674
75900027216,102
75900027216,428
75900027216,774
75900027216,1698
75900027216,1748
75900027216,1770
75900027216,2892
75900027216,4262
76633256122,180
76633256122,1440
76633256122,3330
76633256122,4214
76633256123,3012
76633256123,3276
76633256123,4182
76633256123,4322
76633256124,234
76633256124,1446
76633256124,1656
76633256124,3836
76633256125,630
76633256125,2910
76633256125,4208
76633256125,4650
76633256125,4788
76825489769,836
76825489769,998
76825489769,1346
76825489769,3260
76825489769,4238
76825489770,122
76825489770,524
76825489770,1220
76825489770,1914
76825489770,2652
76825489770,4298
76825489771,632
76825489771,968
76825489771,1398
76825489771,3014
76825489771,3114
76825489772,654
76825489772,884
76825489772,2550
76825489772,2706
76825489772,3290
76825489772,3344
76825489772,3608
76825489772,4104
76825489772,4514
77184542378,78
77184542378,2108
77184542378,3696
77184542378,4760
77184542379,2924
77184542379,3524
77184542379,4188
77184542379,4374
77184542379,4790
77184542379,4844
77184542380,1038
77184542380,2942
77184542381,698
77184542381,1118
77184542381,1394
77184542381,4398
77255566182,2570
77255566182,4164
77255566183,2180
77255566183,2676
77255566183,3128
77255566183,3386
77255566183,4856
77255566184,674
77255566184,1698
77255566184,3884
77255566184,4610
77255566185,1112
77255566185,1224
77255566185,3792
77309742824,524
77309742824,1496
77309742824,2588
77309742824,4314
77309742825,1062
77309742825,2148
77309742825,2298
77309742825,3660
77309742826,374
77309742826,3728
77309742826,4248
77309742826,4994
77309742827,1266
77309742827,3246
77594757268,1190
77594757268,1568
77594757268,1698
77594757268,1802
77594757268,2330
77594757268,3188
77594757268,3248
77594757268,3608
77594757268,3678
77594757268,4430
77594757268,4872
77594757269,114
77594757269,1278
77594757269,1746
77594757269,1976
77594757271,198
77594757271,668
77594757271,3272
77594757271,3944
77594757271,4788
77677017995,3360
77677017996,294
77677017996,4814
77677017997,1704
77677017997,3756
77677017997,3846
77677017998,140
77677017998,492
77677017998,1166
77677017998,1748
77677017998,3236
77677017998,4830
78091095111,1080
78091095111,1244
78091095111,2828
78091095111,3890
78091095111,3932
78091095111,4848
78091095112,2688
78091095112,4778
78091095113,4352
78091095113,4602
78091095114,2124
78447523763,72
78447523763,122
78447523763,962
78447523763,1508
78447523763,3248
78447523763,4752
78447523764,320
78447523764,996
78447523764,1976
78447523764,2274
78447523764,3590
78447523765,944
78447523765,3380
78447523765,3500
78447523765,4230
78447523765,4242
78447523765,4338
78447523765,4604
78447523766,168
78447523766,2294
78447523766,2600
78447523766,3240
78537052509,1530
78537052509,2006
78537052509,3120
78537052509,3294
78537052510,1004
78537052510,2378
78537052510,5000
78537052511,222
78537052511,2012
78537052511,3950
78537052511,4352
78537052512,90
78537052512,3168
78537052512,3548
78946599927,660
78946599927,1244
78946599927,2018
78946599927,3254
78946599927,3396
78946599927,3660
78946599927,3864
78946599927,4254
78946599927,4260
78946599928,132
78946599928,642
78946599928,686
78946599928,1488
78946599928,2958
78946599928,4896
78946599929,200
78946599929,546
78946599929,1026
78946599929,1230
78946599929,1704
78946599929,4134
78946599929,4358
78946599929,4644
78946599929,4646
78946599930,1548
78946599930,2100
78946599930,4934
79244640245,2298
79244640245,4728
79244640246,572
79244640246,1754
79244640246,2850
79244640247,168
79244640247,1346
79244640247,2778
79244640247,4056
79244640247,4760
79244640248,2360
79244640248,2666
79244640248,3066
79244640248,3926
79244640248,4436
80121852058,2606
80121852058,4610
80121852059,138
80121852059,338
80121852059,1074
80121852059,1790
80121852059,2270
80121852059,2568
80121852060,1518
80121852060,2400
80121852060,3002
80121852060,3710
80121852060,4962
80121852061,1442
80121852061,4520
80192801429,158
80192801429,578
80192801429,2960
80192801429,3894
80192801429,4136
80192801429,4488
80192801429,4650
80192801430,3512
80192801430,4232
80192801430,4578
80192801431,2454
80192801431,2690
80192801431,2834
80192801431,4118
80192801431,4302
80192801432,408
80192801432,4020
80192801432,4190
80227459218,1290
80227459218,1998
80227459218,4286
80227459218,4628
80227459219,854
80227459219,4008
80227459220,1700
80227459220,1902
80227459220,2604
80227459220,3834
80227459220,4262
80227459221,1490
80227459221,2040
80227459221,3168
80227459221,3990
80227459221,4934
80245711958,2072
80245711959,254
80245711959,1784
80245711959,1788
80245711959,2600
80245711959,2828
80245711959,4188
80245711960,552
80245711960,1040
80245711960,1662
80245711960,2702
80245711960,3092
80245711960,3458
80245711961,834
80245711961,3458
80245711961,4830
80552803551,1844
80552803552,596
80552803552,2414
80552803552,2714
80552803552,2858
80552803552,4578
80552803553,422
80552803553,3842
80552803553,4910
80552803554,2234
80552803554,3306
80552803554,4158
80878916505,98
80878916505,494
80878916505,642
80878916505,2750
80878916505,3200
80878916505,3750
80878916505,4268
80878916505,4592
80878916506,1160
80878916506,2594
80878916506,2804
80878916506,2880
80878916506,3794
80878916506,4272
80878916506,4598
80878916507,36
80878916507,506
80878916507,2298
80878916508,558
80878916508,728
80878916508,1346
80878916508,1712
80878916508,1790
80878916508,1946
80878916508,3558
81031826314,86
81031826314,296
81031826314,566
81031826314,828
81031826314,836
81031826314,1214
81031826314,3294
81031826314,3318
81031826314,4968
81031826315,492
81031826315,2898
81031826315,2954
81031826315,4250
81031826316,170
81031826316,912
81031826316,2330
81031826316,3470
81031826317,2036
81031826317,3428
81094362268,180
81094362268,198
81094362268,726
81094362268,3570
